,Base Feature,Additional Feature,Correlation
0,ActualSpeed,DistanceKM,0.004346610540078195
1,ActualSpeed,StopOnOff,0.6152829117856318
2,ActualSpeed,ThrottlePerc,0.581997619889559
3,ActualSpeed,MotorUseCurrent,0.5165253417052795
4,ActualSpeed,CompOnOff,-0.4827175309030241
5,ActualSpeed,FC2Current,0.3844079542778404
6,ActualSpeed,FC3Current,0.38431011501167395
7,ActualSpeed,MotorTemp,0.38403090706911786
8,ActualSpeed,TotalFCPower,0.35348362129931593
9,ActualSpeed,FC1AirFlow,0.3233761801684447
10,ActualSpeed,FC3AirFlow,0.31984383891497714
11,ActualSpeed,FC2AirFlow,0.31927817742351794
12,ActualSpeed,BatTotalCurrent,0.2797469192682065
13,ActualSpeed,BattOutputPower,0.2620117738458177
14,ActualSpeed,MotorTorque,0.22338173337456624
15,ActualSpeed,FC1Cool,0.22465110304122193
16,ActualSpeed,FC2Cool,0.21660171832623337
17,ActualSpeed,FC3Cool,0.21946403566897493
18,ActualSpeed,TotalDistance,0.1533067298783804
19,ActualSpeed,CompPower,-0.17810338627806926
20,ActualSpeed,FC3Volt,0.15204555962666028
21,ActualSpeed,FC1Volt,0.15164429745313746
22,ActualSpeed,FC2Volt,0.15081732343938797
23,ActualSpeed,BatMaxV,0.12231120981214455
24,ActualSpeed,BatTotalVoltage,0.11931983072921862
25,ActualSpeed,BatMinV,0.11668587006847309
26,ActualSpeed,HVACDraw,0.12651720514241585
27,ActualSpeed,H2Weight,0.088557194718787
28,ActualSpeed,H2Press,0.08217010664293142
29,ActualSpeed,BrakePerc,-0.10126335465160674
30,ActualSpeed,Signal,0.05932114313057709
31,ActualSpeed,Is_Wednesday,-0.03492273820279365
32,ActualSpeed,BatSOC,-0.016499857759908296
33,ActualSpeed,Is_Friday,0.02731311852989568
34,ActualSpeed,H2Temp,0.0035392888505683608
35,ActualSpeed,Is_Sunday,
36,ActualSpeed,AirTemp,-0.0143202760817115
37,ActualSpeed,Is_Saturday,
38,ActualSpeed,Is_Thursday,0.015155088404295665
39,ActualSpeed,Is_Monday,0.007941403082213392
40,ActualSpeed,Is_Tuesday,-0.013116230751770102
41,ActualSpeed,TotalPowerDraw,0.4741245433694883
42,ActualSpeed,MotorRPM,0.9999999999999999
43,ActualSpeed,TotalAxle,0.10553847552711952
44,ActualSpeed,SpeedChange,0.1608068738655255
45,NetWeight,DistanceKM,-0.0012659439797185286
46,NetWeight,StopOnOff,0.0451683658932097
47,NetWeight,ThrottlePerc,0.16335523760988302
48,NetWeight,MotorUseCurrent,0.11192550317174313
49,NetWeight,CompOnOff,0.0926675114211177
50,NetWeight,FC2Current,0.09811010839050614
51,NetWeight,FC3Current,0.0982382262472634
52,NetWeight,MotorTemp,0.17958659198905527
53,NetWeight,TotalFCPower,0.09457073366831018
54,NetWeight,FC1AirFlow,0.080991583474506
55,NetWeight,FC3AirFlow,0.07933693742718351
56,NetWeight,FC2AirFlow,0.07947980718032875
57,NetWeight,BatTotalCurrent,0.08780536406729829
58,NetWeight,BattOutputPower,0.08159686998190249
59,NetWeight,MotorTorque,0.07744768274506919
60,NetWeight,FC1Cool,0.056150568116043735
61,NetWeight,FC2Cool,0.03818681966731469
62,NetWeight,FC3Cool,0.0460902748010079
63,NetWeight,TotalDistance,0.2107991473386477
64,NetWeight,CompPower,-0.07116474058106931
65,NetWeight,FC3Volt,0.10149428071791915
66,NetWeight,FC1Volt,0.10362210348287695
67,NetWeight,FC2Volt,0.1026585483382812
68,NetWeight,BatMaxV,0.15371817998812126
69,NetWeight,BatTotalVoltage,0.15282520061920082
70,NetWeight,BatMinV,0.1520123175691441
71,NetWeight,HVACDraw,0.051406843944055286
72,NetWeight,H2Weight,0.08383179884443977
73,NetWeight,H2Press,0.07008337202621762
74,NetWeight,BrakePerc,0.024755041044611074
75,NetWeight,Signal,0.066335666592399
76,NetWeight,Is_Wednesday,-0.04883011644519637
77,NetWeight,BatSOC,0.08580092592224733
78,NetWeight,Is_Friday,0.042987918920568566
79,NetWeight,H2Temp,0.06467966404628284
80,NetWeight,Is_Sunday,
81,NetWeight,AirTemp,0.03297255499175909
82,NetWeight,Is_Saturday,
83,NetWeight,Is_Thursday,0.006728023137512807
84,NetWeight,Is_Monday,0.03452961042384554
85,NetWeight,Is_Tuesday,-0.03222163523690727
86,NetWeight,TotalPowerDraw,0.09367339208117319
87,NetWeight,MotorRPM,0.10530311241708741
88,NetWeight,TotalAxle,0.9999506052551519
89,NetWeight,SpeedChange,0.00429579864358175
90,SpeedChange,DistanceKM,-0.0004969775119145637
91,SpeedChange,StopOnOff,0.0003488950846246941
92,SpeedChange,ThrottlePerc,0.42085076611681915
93,SpeedChange,MotorUseCurrent,0.5256925349090193
94,SpeedChange,CompOnOff,-0.0016254581188606643
95,SpeedChange,FC2Current,0.004157759221493394
96,SpeedChange,FC3Current,0.004152866731340766
97,SpeedChange,MotorTemp,-0.023871879090284348
98,SpeedChange,TotalFCPower,0.0014789853502745847
99,SpeedChange,FC1AirFlow,0.006570105165246174
100,SpeedChange,FC3AirFlow,0.006383239681045472
101,SpeedChange,FC2AirFlow,0.006557129552295443
102,SpeedChange,BatTotalCurrent,0.4664306079794475
103,SpeedChange,BattOutputPower,0.469551206258287
104,SpeedChange,MotorTorque,0.5519980137235077
105,SpeedChange,FC1Cool,-0.008510094925572467
106,SpeedChange,FC2Cool,-0.008601645806087181
107,SpeedChange,FC3Cool,-0.008623320701843478
108,SpeedChange,TotalDistance,0.00017423078859580917
109,SpeedChange,CompPower,0.08515412886108299
110,SpeedChange,FC3Volt,-0.005292768102930861
111,SpeedChange,FC1Volt,-0.004254974707438607
112,SpeedChange,FC2Volt,-0.004435021163747505
113,SpeedChange,BatMaxV,-0.011304072127397027
114,SpeedChange,BatTotalVoltage,-0.013494568255719559
115,SpeedChange,BatMinV,-0.015498116604733646
116,SpeedChange,HVACDraw,-0.005316127635297878
117,SpeedChange,H2Weight,0.002673678384519413
118,SpeedChange,H2Press,0.002812155551542064
119,SpeedChange,BrakePerc,-0.23647687858896188
120,SpeedChange,Signal,-0.00030480279996207267
121,SpeedChange,Is_Wednesday,-5.5352882092937614e-05
122,SpeedChange,BatSOC,0.0036400765406120477
123,SpeedChange,Is_Friday,-4.612769351791184e-06
124,SpeedChange,H2Temp,0.0045144543958365105
125,SpeedChange,Is_Sunday,
126,SpeedChange,AirTemp,-0.000126207977932949
127,SpeedChange,Is_Saturday,
128,SpeedChange,Is_Thursday,-6.187591114315248e-05
129,SpeedChange,Is_Monday,5.018186515887022e-05
130,SpeedChange,Is_Tuesday,7.309259158547871e-05
131,SpeedChange,TotalPowerDraw,0.5473176162678909
132,SpeedChange,MotorRPM,0.16080687386552506
133,SpeedChange,TotalAxle,0.004445144007209214
134,SpeedChange,SpeedChange,0.9999999999999999
135,MotorJoules,DistanceKM,0.0018122646694419303
136,MotorJoules,StopOnOff,0.3161423419750689
137,MotorJoules,ThrottlePerc,0.7251176235901785
138,MotorJoules,MotorUseCurrent,0.9988328230399857
139,MotorJoules,CompOnOff,-0.2413747331022093
140,MotorJoules,FC2Current,0.19639494538928456
141,MotorJoules,FC3Current,0.19632505526960412
142,MotorJoules,MotorTemp,0.1771333394576236
143,MotorJoules,TotalFCPower,0.17920284321459226
144,MotorJoules,FC1AirFlow,0.1617907715236453
145,MotorJoules,FC3AirFlow,0.16003738671620998
146,MotorJoules,FC2AirFlow,0.15922459186108473
147,MotorJoules,BatTotalCurrent,0.8493911311136096
148,MotorJoules,BattOutputPower,0.8406781962908119
149,MotorJoules,MotorTorque,0.7343779474270676
150,MotorJoules,FC1Cool,0.09806484841201592
151,MotorJoules,FC2Cool,0.09412934814205705
152,MotorJoules,FC3Cool,0.09472529800279746
153,MotorJoules,TotalDistance,0.09452666902558925
154,MotorJoules,CompPower,-0.06725557696714916
155,MotorJoules,FC3Volt,0.07198211798827699
156,MotorJoules,FC1Volt,0.07274118739751359
157,MotorJoules,FC2Volt,0.07231298769298732
158,MotorJoules,BatMaxV,0.05626030245446502
159,MotorJoules,BatTotalVoltage,0.051515819640828985
160,MotorJoules,BatMinV,0.04810749679450743
161,MotorJoules,HVACDraw,0.07188589990023773
162,MotorJoules,H2Weight,0.051583324777372035
163,MotorJoules,H2Press,0.0480554102915623
164,MotorJoules,BrakePerc,-0.15006062144583465
165,MotorJoules,Signal,0.026873788987919905
166,MotorJoules,Is_Wednesday,-0.02374296687412581
167,MotorJoules,BatSOC,0.004488680000360122
168,MotorJoules,Is_Friday,0.015702686169880464
169,MotorJoules,H2Temp,0.008801051770567765
170,MotorJoules,Is_Sunday,
171,MotorJoules,AirTemp,-0.02019447986959565
172,MotorJoules,Is_Saturday,
173,MotorJoules,Is_Thursday,0.005522917451696919
174,MotorJoules,Is_Monday,0.011488509715009884
175,MotorJoules,Is_Tuesday,-0.007518871135723324
176,MotorJoules,TotalPowerDraw,0.9811860911978136
177,MotorJoules,MotorRPM,0.5114764283725105
178,MotorJoules,TotalAxle,0.1081128979386748
179,MotorJoules,SpeedChange,0.5339932043516422
