,SpeedChange,BatTotalCurrent,BattOutputPower,TotalPowerDraw,MotorUseCurrent,ThrottlePerc,MotorTorque,CompPower,NetWeight,TotalAxle,AltChange,BrakePerc,DistanceKM,HVACDraw,StopOnOff,MotorRPM,ActualSpeed,SpeedChange
SpeedChange,1.0,0.46643060797944774,0.46955120625826563,0.5473176162678856,0.5256925349090085,0.4208507661168166,0.5519980137235025,0.08515412886108346,0.004295798643581686,0.004445144007209193,0.003983315552571657,-0.23647687858896374,-0.0004969775119145488,-0.005316127635297891,0.0003488950846246742,0.16080687386552434,0.1608068738655276,1.0
BatTotalCurrent,0.46643060797944774,1.0,0.9986865825999123,0.8442485045150908,0.850317680914442,0.5778900960473308,0.6782415838942747,-0.0012389555647215535,0.08780536406729736,0.08800831810154615,0.10433872136907858,-0.1459022385863213,0.001152540599617081,0.04996339960374266,0.10483223207830342,0.279746919268207,0.27974691926820905,0.46643060797944774
BattOutputPower,0.46955120625826563,0.9986865825999123,1.0,0.8367949363517228,0.8395010668486391,0.5697057762328366,0.6805763690136025,0.005106511415657131,0.08159686998190355,0.08181132027142622,0.104666529160166,-0.14825621886992163,0.001057290249609559,0.045467486640597805,0.08912796519555884,0.26201177384581464,0.26201177384581636,0.46955120625826563
TotalPowerDraw,0.5473176162678856,0.8442485045150908,0.8367949363517228,1.0,0.9794780171852482,0.7178689385489685,0.7496548547635419,0.12623429072439576,0.09367339208117433,0.09382269775662785,0.10928210931632591,-0.15647388737482978,0.0014502399516530301,0.06284393417639407,0.26074300890666835,0.47412454336947374,0.4741245433694919,0.5473176162678858
MotorUseCurrent,0.5256925349090085,0.850317680914442,0.8395010668486391,0.9794780171852482,1.0,0.7231400948465896,0.726157270167994,-0.07013346319238134,0.11192550317174212,0.11201039571047572,0.11283696582750205,-0.14678822768725994,0.0018501431197229324,0.07500426535167475,0.32078947778500816,0.5165253417052647,0.5165253417052728,0.5256925349090085
ThrottlePerc,0.4208507661168166,0.5778900960473308,0.5697057762328366,0.7178689385489685,0.7231400948465896,1.0,0.6887762915856858,-0.015711351727365923,0.16335523760988205,0.16360100825426935,0.028383880678745598,-0.13181172047808715,0.0032050638874868125,0.10201744945930794,0.37399655431290474,0.5819976198895586,0.5819976198895459,0.4208507661168166
MotorTorque,0.5519980137235025,0.6782415838942747,0.6805763690136025,0.7496548547635419,0.726157270167994,0.6887762915856858,1.0,0.10154722139293756,0.07744768274506794,0.07751934744425386,0.07705849486525544,-0.1690843936343134,-0.0008431626958621953,0.043443715705057645,0.17607910143554545,0.22338173337456343,0.223381733374557,0.5519980137235025
CompPower,0.08515412886108346,-0.0012389555647215535,0.005106511415657131,0.12623429072439576,-0.07013346319238134,-0.015711351727365923,0.10154722139293756,1.0,-0.07116474058106736,-0.07085025393593196,-0.019442914786137255,-0.03769147466901709,-0.0018209519893900208,-0.04480142576816746,-0.2770844641280119,-0.1781033862780667,-0.1781033862780663,0.08515412886108346
NetWeight,0.004295798643581686,0.08780536406729736,0.08159686998190355,0.09367339208117433,0.11192550317174212,0.16335523760988205,0.07744768274506794,-0.07116474058106736,1.0,0.999950605255142,-0.0001233397208529407,0.024755041044610928,-0.0012659439797185197,0.051406843944057076,0.04516836589320905,0.10530311241708892,0.10530311241708788,0.004295798643581683
TotalAxle,0.004445144007209193,0.08800831810154615,0.08181132027142622,0.09382269775662785,0.11201039571047572,0.16360100825426935,0.07751934744425386,-0.07085025393593196,0.999950605255142,1.0,-0.00010066443575419524,0.02443489818681957,-0.0012620625464730675,0.05148136131380559,0.044961988393544136,0.10553847552712127,0.10553847552711834,0.004445144007209189
AltChange,0.003983315552571657,0.10433872136907858,0.104666529160166,0.10928210931632591,0.11283696582750205,0.028383880678745598,0.07705849486525544,-0.019442914786137255,-0.0001233397208529407,-0.00010066443575419524,1.0,-0.02175856746996497,-0.004687698169442928,-0.009161929430537317,-0.0016210392484203777,-0.03764110095274218,-0.037641100952742146,0.003983315552571658
BrakePerc,-0.23647687858896374,-0.1459022385863213,-0.14825621886992163,-0.15647388737482978,-0.14678822768725994,-0.13181172047808715,-0.1690843936343134,-0.03769147466901709,0.024755041044610928,0.02443489818681957,-0.02175856746996497,1.0,-0.0009669760586528482,0.050587763577593446,0.08874047381771132,-0.10126335465160835,-0.10126335465160909,-0.2364768785889637
DistanceKM,-0.0004969775119145488,0.001152540599617081,0.001057290249609559,0.0014502399516530301,0.0018501431197229324,0.0032050638874868125,-0.0008431626958621953,-0.0018209519893900208,-0.0012659439797185197,-0.0012620625464730675,-0.004687698169442928,-0.0009669760586528482,1.0,0.0005637528961008626,0.006003465631700937,0.004346610540078249,0.004346610540078095,-0.0004969775119145485
HVACDraw,-0.005316127635297891,0.04996339960374266,0.045467486640597805,0.06284393417639407,0.07500426535167475,0.10201744945930794,0.043443715705057645,-0.04480142576816746,0.051406843944057076,0.05148136131380559,-0.009161929430537317,0.050587763577593446,0.0005637528961008626,1.0,0.13026131257744772,0.1265172051424151,0.1265172051424167,-0.005316127635297895
StopOnOff,0.0003488950846246742,0.10483223207830342,0.08912796519555884,0.26074300890666835,0.32078947778500816,0.37399655431290474,0.17607910143554545,-0.2770844641280119,0.04516836589320905,0.044961988393544136,-0.0016210392484203777,0.08874047381771132,0.006003465631700937,0.13026131257744772,1.0,0.6152829117856335,0.6152829117856398,0.00034889508462467337
MotorRPM,0.16080687386552434,0.279746919268207,0.26201177384581464,0.47412454336947374,0.5165253417052647,0.5819976198895586,0.22338173337456343,-0.1781033862780667,0.10530311241708892,0.10553847552712127,-0.03764110095274218,-0.10126335465160835,0.004346610540078249,0.1265172051424151,0.6152829117856335,1.0,1.000000000000004,0.16080687386552428
ActualSpeed,0.1608068738655276,0.27974691926820905,0.26201177384581636,0.4741245433694919,0.5165253417052728,0.5819976198895459,0.223381733374557,-0.1781033862780663,0.10530311241708788,0.10553847552711834,-0.037641100952742146,-0.10126335465160909,0.004346610540078095,0.1265172051424167,0.6152829117856398,1.000000000000004,1.0,0.1608068738655276
SpeedChange,1.0,0.46643060797944774,0.46955120625826563,0.5473176162678858,0.5256925349090085,0.4208507661168166,0.5519980137235025,0.08515412886108346,0.004295798643581683,0.004445144007209189,0.003983315552571658,-0.2364768785889637,-0.0004969775119145485,-0.005316127635297895,0.00034889508462467337,0.16080687386552428,0.1608068738655276,1.0
